base,treatment,contrast,metric,mean_difference,sd_difference,n,seed_8_difference,seed_99_difference,seed_123_difference
C03,C09,HER16 minus immediate control,target_valid_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C09,HER16 minus immediate control,value_span,0.025215251832962804,0.0017211899502076581,3,0.02713469352140974,0.023809097849081418,0.02470196412839726
C03,C09,HER16 minus immediate control,option_success_fraction,-0.2018594760082516,0.14379318759071166,3,-0.21096253110205426,-0.34088486717904315,-0.0537310297436574
C03,C09,HER16 minus immediate control,option_timeout_rate,0.04041670921840959,0.025976302240048564,3,0.05080518535539216,0.05959105647467321,0.010853885825163404
C03,C09,HER16 minus immediate control,known_edge_fraction,0.0195079847098955,0.026944534066770044,3,0.03465413229138242,-0.011601307471982819,0.0354711293102869
C03,C09,HER16 minus immediate control,node_coverage_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C09,HER16 minus immediate control,learned_deadline_fraction,0.00016078904823024764,0.0007135040139221985,3,0.0009805906831829025,-0.00032004791926709686,-0.00017817561922506275
C03,C09,HER16 minus immediate control,selected_deadline_mean,-2.954503552326709,2.509733496622673,3,-3.3610048823886443,-5.236173353943171,-0.26633242064831286
C03,C09,HER16 minus immediate control,exploration_selection_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C09,HER16 minus immediate control,forced_exploration_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C09,HER16 minus immediate control,exploration_reward_nonzero_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C09,HER16 minus immediate control,her_loss,0.0652697207477179,0.021006994167103516,3,0.0880589221811129,0.061071162516847737,0.04667907754519309
C03,C09,HER16 minus immediate control,her_accepted_segments,31.305010893246187,1.031274035681632,3,31.820261437908496,30.11764705882353,31.977124183006534
C03,C09,HER16 minus immediate control,her_segment_length,7.9586788304231275,0.2820437441581946,3,8.191489807141373,7.64504768334183,8.039499000786178
C03,C09,HER16 minus immediate control,passive_updates,,,0,,,
C03,C09,HER16 minus immediate control,passive_known_edge_fraction,,,0,,,
C03,C09,HER16 minus immediate control,frontier_selection_rate,,,0,,,
C03,C09,HER16 minus immediate control,frontier_yield,,,0,,,
C03,C09,HER16 minus immediate control,frontier_reached_fraction,,,0,,,
C03,C09,HER16 minus immediate control,route_available_rate,,,0,,,
C03,C09,HER16 minus immediate control,hop_count_mean,,,0,,,
C03,C09,HER16 minus immediate control,waypoint_success_rate,,,0,,,
C03,C09,HER16 minus immediate control,final_frontier_reach_rate,,,0,,,
C03,C09,HER16 minus immediate control,validation_success_rate,,,0,,,
C03,C09,HER16 minus immediate control,validation_timeout_rate,,,0,,,
C03,C10,HER64 minus immediate control,coverage_auc,15.05676945873921,16.230030877900568,3,0.28739414146539843,12.450808146927137,32.43210608782509
C03,C10,HER64 minus immediate control,unique_cells,18.864039968525486,22.897896431817394,3,-1.8834587101623583,15.0437893453634,43.43178927037541
C03,C10,HER64 minus immediate control,coverage_entropy,-0.5552686836276817,0.02512653524028613,3,-0.574816195446419,-0.5640627455613871,-0.5269271098752388
C03,C10,HER64 minus immediate control,dg_density,-0.00441284844558483,0.002691387515064361,3,-0.0018784267450469745,-0.004122466043709149,-0.007237652547998366
C03,C10,HER64 minus immediate control,dg_silent_fraction,0.0,0.0,3,0.0,0.0,0.0
