id,low_m,n,lift_mean,lift_median,lift_max,fraction_gt2,fraction_gt100,success,target_rate,density,silence,entropy,edges,sensitivity,coverage,recruitment,target_activation_rate,shuffled_activation_rate,pooled_lift
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,50.0,153,0.928509009869281,0.9285032,1.1189052,0.0,0.0,0.3288652376470588,0.03259357124836602,0.0254183501503268,0.0,0.9617297484313723,0.1750272328104575,0.01629651356013072,38.58811230065359,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,55.0,153,1.0041724343137255,0.98957217,1.7314013,0.0,0.0,0.3829127539869281,0.04184857536601307,0.024280622843137256,0.0,0.9610383405882353,0.17252178405228757,0.01863245122222222,41.440518359477124,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,60.0,152,0.9574798206578947,0.97414352,1.0460821,0.0,0.0,0.4360595022368421,0.045737818594078945,0.02607144807236842,0.0,0.9636352215789474,0.15731907894736843,0.01863460363486842,39.119364651315784,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,65.0,153,73.18775792457517,1.0045847,6356.9683,0.3464052287581699,0.013071895424836602,0.46270280360784316,0.042604932615032676,0.023846794535947714,0.0,0.9638049628758171,0.16533224274509806,0.012913930313725492,43.24652656862746,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,70.0,152,0.9624175276315788,0.9749393,1.1422988,0.0,0.0,0.3748721910263158,0.03569271693157895,0.02353969376973684,0.0,0.9635306814473684,0.1394462732368421,0.015072771438157896,41.75626544736842,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,75.0,153,1.0066825186928106,0.998533,1.997066,0.0,0.0,0.15730523562091503,0.01060814950620915,0.02477209550980392,0.0,0.963091646143791,0.1590413937908497,0.006058490315686275,35.62996366666667,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,80.0,152,0.9479772995394737,0.9444444,1.2696124,0.0,0.0,0.21134095093421057,0.011044150894736841,0.022682993032894738,0.0,0.963485360131579,0.15553728059210525,0.007889848526973685,36.069128144736844,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,85.0,153,10.853119005947711,0.9303791,1466.2756,0.10457516339869281,0.006535947712418301,0.15335964569281044,0.009251812699346407,0.02273739086928105,0.0,0.9651141308496733,0.15857843183006537,0.007922399799346405,34.46185521568628,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,90.0,153,0.9697188881045752,0.97530866,1.1947033,0.0,0.0,0.2535264129019608,0.02084929022614379,0.02561222654901961,0.0,0.9634371473202614,0.1349128540522876,0.012720996060784313,28.686341993464055,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,95.0,152,0.9842722351973685,0.9990225,1.9951051,0.0,0.0,0.18213797877631582,0.014397872113157894,0.02454034905921053,0.0,0.9657207373684212,0.16288377256578948,0.009979130994078947,34.51976423684211,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,100.0,1,0.81738204,0.81738204,0.81738204,0.0,0.0,0.20588236,0.013671875,0.022491455,0.0,0.9358988,0.15833333,0.010088881,,0.0,,,
00_CPD_C15_ADD_CA3_DIR_PASS_S99_20260907_035139_785467,0.0,153,0.9579390066666666,0.97803164,1.9217877,0.0,0.0,0.06487046432679738,0.007190180745098038,0.027267755276470584,0.0016339869281045752,0.9717578167320261,0.0015795208039215687,0.0016949815435006537,74.92870838095239,0.0,0.01886222925792019,0.018908876113549414,0.9975330709583633
00_CPD_C15_ADD_CA3_DIR_PASS_S99_20260907_035139_785467,5.0,153,1.0093263511764705,0.9728155,2.0257373,0.006535947712418301,0.0,0.06900435768627451,0.010480494284313725,0.04796705063398692,0.0,0.9873503696078432,0.013099129196078432,0.013201759469934637,54.691705450980386,0.0,0.035583668357669865,0.03729127664000303,0.9542089079218763
00_CPD_C15_ADD_CA3_DIR_PASS_S99_20260907_035139_785467,10.0,152,0.9999779357894738,0.9106734999999999,2.3289547,0.019736842105263157,0.0,0.06784399169736842,0.010658665717105264,0.06197015843421053,0.0,0.9879262428947367,0.02277960564473684,0.022583696624999997,40.578690256578945,0.0,0.04154216306414684,0.046200669574921374,0.8991679870955104
00_CPD_C15_ADD_CA3_DIR_PASS_S99_20260907_035139_785467,15.0,153,1.0770784956209152,1.0482922,2.9920635,0.058823529411764705,0.0,0.0675923219496732,0.010924096173202615,0.06629794262091503,0.0,0.9911670365359477,0.023175381647058825,0.025713884209150325,48.981132405228756,0.0,0.04731632814979372,0.053410860762122314,0.885893383379983
00_CPD_C15_ADD_CA3_DIR_PASS_S99_20260907_035139_785467,20.0,152,1.1274936000657896,1.0664022499999999,3.501008,0.07236842105263158,0.0,0.07448295468421054,0.011191920213157895,0.06653795744078947,0.0,0.9883305564473686,0.030345395269736845,0.034342190848684215,45.44105902631579,0.0,0.049332710183309966,0.0578179003259957,0.853242852216294
