condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,best_corr_to_latent_probs,best_corr_to_latent_samples
encourage,1.0,3,0.18695068359375,0.1953125,0.025027614481893428,5.982421875,4.338878067487203,1.0,0.21875,1.587869362363919,3.6144922317350687,0.4427857477407491,0.8777766142507928
punish,1.0,3,0.13226318359375,0.1337890625,0.01935488225546804,4.232421875,7.233189265256474,1.0,0.53125,1.1745257452574527,3.2082146522381465,0.118201739783196,0.3226428583837646
no_learning,1.0,4,0.16864013671875,0.171875,0.02197053687152871,5.396484375,2.2046265591661687,1.0,0.00390625,1.3239099185433636,2.652925579921056,0.2283356288903601,0.4217798546405116
encourage,1.0,4,0.19256591796875,0.1962890625,0.02294848826442965,6.162109375,4.984261347033993,1.0,0.20703125,1.5397755002440214,3.441479063766755,0.39592297974588064,0.829577871663314
punish,1.0,4,0.1378173828125,0.138671875,0.016615469100763166,4.41015625,7.465005231115779,1.0,0.52734375,1.1896733403582718,3.1994973060253407,0.11916697379019808,0.33241510064256746
no_learning,1.0,5,0.1651611328125,0.1640625,0.022241934503872372,5.28515625,2.251894682947215,1.0,0.0,1.3078782020299662,2.617875501367144,0.2238471589550705,0.42159182327862404
encourage,1.0,5,0.1900634765625,0.2021484375,0.030251525824661372,6.08203125,4.488821769019509,1.0,0.169921875,1.5190243902439025,3.4754151962991386,0.38262363619069456,0.8431029534413581
punish,1.0,5,0.13311767578125,0.1396484375,0.01737423374352571,4.259765625,7.453298762633118,1.0,0.560546875,1.1795565170362359,3.293470430230861,0.10759138525292794,0.3279217460267931
no_learning,1.0,6,0.1656494140625,0.1728515625,0.024736337281476544,5.30078125,3.6415783857619264,1.0,0.017578125,1.313649564375605,2.7081973992821657,0.24464388679479335,0.4433036479873863
encourage,1.0,6,0.18505859375,0.1962890625,0.02830768171999169,5.921875,4.481488618124004,1.0,0.16796875,1.6668499175371083,4.006069665794329,0.46685097577751977,0.9080669733999007
punish,1.0,6,0.13262939453125,0.13671875,0.020591112532338866,4.244140625,7.103377610702152,1.0,0.53125,1.1676518001074692,3.1234446239079157,0.11063834903101893,0.32104215458818747
no_learning,1.0,7,0.16534423828125,0.1650390625,0.021169170896694938,5.291015625,2.1165450694482884,1.0,0.001953125,1.3182481751824817,2.516583811456224,0.2267538554201279,0.4195687516845211
encourage,1.0,7,0.18743896484375,0.197265625,0.03082166613179562,5.998046875,4.310914121193176,1.0,0.20703125,1.5165432098765432,3.534795047261235,0.3684379189827629,0.8420342059792687
punish,1.0,7,0.132568359375,0.134765625,0.016678575393802315,4.2421875,7.121431226575438,1.0,0.513671875,1.1920965971459934,3.156988318691549,0.11989648360734592,0.32265952826581296
no_learning,1.0,8,0.16815185546875,0.171875,0.018134632675020447,5.380859375,2.0178560432980865,1.0,0.0,1.3571428571428572,2.5808827035902584,0.25918603666045603,0.4528549953967375
